"GENE","EVENT","Fstat","Pdiff","Pzero","medianBetweens","deltaAbsolute"
"Slc25a3","MmuEX0042889",67.6325985063236,0.95625,0.95625,0.490704618352111,0.483449173061092
"Pdlim3","MmuEX0034277",51.5256715126542,1,1,0.600928713109926,0.589266007987056
"Bin1","MmuEX0007973",47.004479738453,1,1,-0.46821913683453,0.458257976974026
"Pdlim3","MmuEX0034278",43.0466707772375,1,1,-0.636813136567419,0.622019585171473
"Tpm1","MmuEX0048596",33.0172675999261,0.998749687421855,0.998749687421855,-0.511442822100537,0.49595266015565
"Pdlim3","MmuEX0034279",31.8536240798706,0.987246811702926,0.987246811702926,-0.558998356629448,0.541449384643472
"Flnc","MmuEX0019346",28.692588146809,1,1,0.534506752568911,0.515878012985223
"Tnnt2","MmuEX0048341",23.9908900598376,0.978494623655914,0.978494623655914,-0.163495120785417,0.156680237286821
"Pkm","MmuEX0035418",22.1097003107903,0.9955,0.9955,-0.232599254449471,0.222079018933843
"Psap","MmuEX0037479",19.4152531308897,0.975487743871936,0.975487743871936,-0.151810772425513,0.143991622636321
"Fermt2","MmuEX0019078",18.0497722632073,0.978244561140285,0.978244561140285,-0.472968290883808,0.446764730861729
"Anxa7","MmuEX0005349",17.8251795100835,0.967241810452613,0.967241810452613,-0.545886271730956,0.515261824362998
"Immt","MmuEX0024087",17.3100224315986,0.980254936265934,0.980254936265934,0.476863173025163,0.449314787405819
"Pdlim7","MmuEX0034298",15.9004241626205,0.983991995997999,0.983991995997999,-0.357310642737278,0.334838874746505
"Rapgef1","MmuEX0038772",15.2229715867623,0.988,0.988,-0.49555590856692,0.46300274338872
"Rapgef1","MmuEX0038771",13.9180729959474,0.9795,0.9795,-0.352563249080599,0.327231922740863
"H13","MmuEX0022264",13.7224670130564,0.971507123219195,0.971507123219195,-0.292229259570871,0.270933580062746
"Mfn2","MmuEX0028801",13.4605416855114,0.9635,0.9635,-0.442611842554841,0.409729670878849
"Ank1","MmuEX0004885",13.4163619775484,0.999250374812594,0.999250374812594,-0.402014772889565,0.372050258398803
"Sorbs2","MmuEX1024511",12.5032562253092,0.975993998499625,0.975993998499625,-0.382088123263255,0.35152903398459
"Seh1l","MmuEX1023224",11.5351923425494,0.96375,0.96375,0.493049382724627,0.45030632581816
"Enah","MmuEX0016847",10.6118597281154,0.973,0.973,-0.355836174962157,0.342922547345203
"Ndrg4","MmuEX0031251",10.0673505781808,0.98525,0.98525,-0.369587283127832,0.332875808717788
"App","MmuEX0005608",10.066805638115,0.956521739130435,0.956521739130435,0.10480378992609,0.0943929611395204
"Sorbs2","MmuEX1024516",10.0381209741433,0.959260184953762,0.959260184953762,-0.271159170090089,0.244146229043796
"Ccpg1","MmuEX1006137",8.11639394282461,0.968,0.968,-0.308095387114744,0.270164509001731
"Capn3","MmuEX0009070",7.93877747676253,0.957760559860035,0.957760559860035,-0.481655281687392,0.421854560019879
"Ncam1","MmuEX0031045",7.76143903373771,0.969492373093273,0.969492373093273,-0.279615117642057,0.276586026958872
"Sorbs1","MmuEX0044363",7.40546853400632,0.955761059735066,0.955761059735066,-0.470884698758135,0.410240457515017
"Sorbs1","MmuEX0044362",7.38724584348777,0.962490622655664,0.962490622655664,-0.508330146493706,0.439746459540789
"Svil","MmuEX0045858",6.79187752191926,0.951737934483621,0.951737934483621,-0.440217978325887,0.375966897057365
"Bin1","MmuEX0007979",6.57143189838928,0.975,0.975,-0.102560906332966,0.0965985650848399
"Picalm","MmuEX1020009",6.36152059029023,0.953488372093023,0.953488372093023,-0.138548174810025,0.116790609922272
"Cobl","MmuEX0012043",6.06730995838621,0.969507623094226,0.969507623094226,-0.254076642891881,0.213189643153706
"Ncam1","MmuEX0031042",5.0545646994331,0.956739184796199,0.956739184796199,-0.277020473394658,0.285749654666377
